exp_num,H1,Venus,Rep,initials,rrep,set
1,None,7753,3,ARL,1,1
1,None,12089,3,ARL,1,2
1,None,8387,3,ARL,1,3
1,None,22267,3,ARL,1,4
1,None,21816,3,ARL,1,5
1,None,14555,3,ARL,1,6
1,None,7275,3,ARL,1,7
1,None,21156,3,ARL,1,8
1,None,24747,3,ARL,1,9
1,None,20146,3,ARL,1,10
1,None,18669,3,ARL,1,11
1,None,22890,3,ARL,1,12
1,None,3514,3,ARL,1,13
1,None,5065,3,ARL,1,14
1,None,4560,3,ARL,1,15
1,None,12509,3,ARL,1,16
1,None,10902,3,ARL,1,17
1,None,3135,3,ARL,1,18
1,None,7844,3,ARL,1,19
1,None,13392,3,ARL,1,20
1,None,10010,3,ARL,1,21
1,None,4641,3,ARL,1,22
1,None,9757,3,ARL,1,23
1,None,7053,3,ARL,1,24
1,None,8142,3,ARL,1,25
1,None,5368,3,ARL,1,26
1,None,9786,3,ARL,1,27
1,None,15967,3,ARL,1,28
1,None,17622,3,ARL,1,29
1,None,9818,3,ARL,1,30
1,None,8287,3,ARL,1,31
1,None,19376,3,ARL,1,32
1,None,11521,3,ARL,1,33
1,None,7576,3,ARL,1,34
1,None,16346,3,ARL,1,35
1,None,10787,3,ARL,1,36
1,None,3615,3,ARL,1,37
1,None,1643,3,ARL,1,38
1,None,7143,3,ARL,1,39
1,None,12819,3,ARL,1,40
1,None,10544,3,ARL,1,41
1,None,7581,3,ARL,1,42
1,None,12915,3,ARL,1,43
1,None,18130,3,ARL,1,44
1,None,11476,3,ARL,1,45
1,None,9363,3,ARL,1,46
1,None,10958,3,ARL,1,47
1,None,9755,3,ARL,1,48
1,None,4649,3,ARL,1,1
1,None,5091,3,ARL,1,2
1,None,9916,3,ARL,1,3
1,None,14794,3,ARL,1,4
1,None,13955,3,ARL,1,5
1,None,8639,3,ARL,1,6
1,None,19700,3,ARL,1,7
1,None,25807,3,ARL,1,8
1,None,21543,3,ARL,1,9
1,None,11826,3,ARL,1,10
1,None,13736,3,ARL,1,11
1,None,12472,3,ARL,1,12
1,None,5146,3,ARL,1,13
1,None,7735,3,ARL,1,14
1,None,4634,3,ARL,1,15
1,None,8743,3,ARL,1,16
1,None,11836,3,ARL,1,17
1,None,9915,3,ARL,1,18
1,None,6275,3,ARL,1,19
1,None,14628,3,ARL,1,20
1,None,16034,3,ARL,1,21
1,None,10620,3,ARL,1,22
1,None,9520,3,ARL,1,23
1,None,11224,3,ARL,1,24
1,None,2897,3,ARL,1,25
1,None,1579,3,ARL,1,26
1,None,6334,3,ARL,1,27
1,None,7342,3,ARL,1,28
1,None,7184,3,ARL,1,29
1,None,2750,3,ARL,1,30
1,None,9670,3,ARL,1,31
1,None,16355,3,ARL,1,32
1,None,8721,3,ARL,1,33
1,None,5096,3,ARL,1,34
1,None,7845,3,ARL,1,35
1,None,7128,3,ARL,1,36
1,None,4372,3,ARL,1,37
1,None,3957,3,ARL,1,38
1,None,8137,3,ARL,1,39
1,None,11379,3,ARL,1,40
1,None,7974,3,ARL,1,41
1,None,5199,3,ARL,1,42
1,None,5240,3,ARL,1,43
1,None,10709,3,ARL,1,44
1,None,9486,3,ARL,1,45
1,None,8257,3,ARL,1,46
1,None,9086,3,ARL,1,47
1,None,7249,3,ARL,1,48
1,None,19232,3,ARL,2,1
1,None,19647,3,ARL,2,2
1,None,27783,3,ARL,2,3
1,None,48643,3,ARL,2,4
1,None,33148,3,ARL,2,5
1,None,14985,3,ARL,2,6
1,None,17675,3,ARL,2,7
1,None,38289,3,ARL,2,8
1,None,23809,3,ARL,2,9
1,None,15017,3,ARL,2,10
1,None,13626,3,ARL,2,11
1,None,9119,3,ARL,2,12
1,None,10662,3,ARL,2,13
1,None,10911,3,ARL,2,14
1,None,12351,3,ARL,2,15
1,None,26318,3,ARL,2,16
1,None,22305,3,ARL,2,17
1,None,12901,3,ARL,2,18
1,None,10446,3,ARL,2,19
1,None,18753,3,ARL,2,20
1,None,28257,3,ARL,2,21
1,None,15780,3,ARL,2,22
1,None,12539,3,ARL,2,23
1,None,12861,3,ARL,2,24
1,None,5509,3,ARL,2,25
1,None,1551,3,ARL,2,26
1,None,10779,3,ARL,2,27
1,None,22450,3,ARL,2,28
1,None,17491,3,ARL,2,29
1,None,7447,3,ARL,2,30
1,None,13840,3,ARL,2,31
1,None,33227,3,ARL,2,32
1,None,31775,3,ARL,2,33
1,None,13775,3,ARL,2,34
